SNP,BetaXG,seBetaXG,Beta_CAD,se_CAD,Beta_T2D,se_T2D
rs1070,-0.022573,0.001826,-0.019108,0.001826,-0.012315,0.001826
rs1071,-0.022321,0.001826,-0.009886,0.001826,-0.014774,0.001826
rs1072,0.026395,0.001826,0.012464,0.001826,0.016397,0.001826
rs1073,-0.05523,0.001826,-0.022063,0.001826,-0.030036,0.001826
rs1074,0.058203,0.001826,0.025191,0.001826,0.027431,0.001826
rs1075,-0.034631,0.001826,-0.001337,0.001826,-0.00574,0.001826
rs1076,-0.06166,0.001826,-0.025082,0.001826,-0.034878,0.001826
rs1077,-0.057075,0.001826,-0.020793,0.001826,-0.030642,0.001826
rs1078,0.025153,0.001826,0.011814,0.001826,0.013592,0.001826
rs1079,0.049508,0.001826,0.027961,0.001826,0.03501,0.001826
rs1080,-0.040378,0.001826,-0.013667,0.001826,-0.026147,0.001826
rs1081,0.039795,0.001826,0.019398,0.001826,0.021748,0.001826
rs1082,-0.047939,0.001826,-0.018087,0.001826,-0.026043,0.001826
rs1083,0.060154,0.001826,0.022148,0.001826,0.030452,0.001826
rs1084,-0.026343,0.001826,-0.012865,0.001826,-0.016027,0.001826
rs1085,0.056307,0.001826,0.022415,0.001826,0.033506,0.001826
rs1086,0.034156,0.001826,0.011024,0.001826,0.017495,0.001826
rs1087,-0.049963,0.001826,-0.022054,0.001826,-0.019242,0.001826
rs1088,-0.032187,0.001826,-0.013489,0.001826,-0.014407,0.001826
rs1089,-0.031207,0.001826,-0.013311,0.001826,-0.016894,0.001826
rs1090,-0.021526,0.001826,-0.008353,0.001826,-0.012445,0.001826
rs1091,-0.048442,0.001826,-0.019453,0.001826,-0.025157,0.001826
rs1092,-0.03668,0.001826,-0.014989,0.001826,-0.019096,0.001826
rs1093,0.035717,0.001826,0.017175,0.001826,0.018079,0.001826
rs1094,0.058944,0.001826,0.025837,0.001826,0.030235,0.001826
rs1095,0.033379,0.001826,0.02451,0.001826,0.033154,0.001826
rs1096,0.053086,0.001826,0.020866,0.001826,0.032284,0.001826
rs1097,-0.041495,0.001826,-0.014877,0.001826,-0.023364,0.001826
rs1098,0.028736,0.001826,0.006169,0.001826,0.016885,0.001826
rs1099,0.033243,0.001826,0.004702,0.001826,0.004495,0.001826
rs1100,-0.0243,0.001826,-0.01135,0.001826,-0.013368,0.001826
rs1101,-0.029353,0.001826,-0.009575,0.001826,-0.017238,0.001826
rs1102,0.057082,0.001826,0.021534,0.001826,0.029717,0.001826
rs1103,0.050251,0.001826,0.016183,0.001826,0.020644,0.001826
rs1104,-0.042293,0.001826,-0.017245,0.001826,-0.024851,0.001826
rs1105,-0.027269,0.001826,-0.01313,0.001826,-0.015473,0.001826
rs1106,0.046549,0.001826,0.01814,0.001826,0.026693,0.001826
rs1107,-0.048117,0.001826,-0.019024,0.001826,-0.025734,0.001826
rs1108,-0.047203,0.001826,-0.018416,0.001826,-0.025598,0.001826
rs1109,-0.022378,0.001826,-0.00809,0.001826,-0.013526,0.001826
rs1110,-0.031819,0.001826,0.008028,0.001826,0.00076,0.001826
rs1111,-0.039406,0.001826,-0.015868,0.001826,-0.020143,0.001826
rs1112,0.048129,0.001826,0.017078,0.001826,0.027996,0.001826
rs1113,-0.043977,0.001826,-0.017115,0.001826,-0.023978,0.001826
rs1114,-0.035408,0.001826,-0.014628,0.001826,-0.01659,0.001826
rs1115,0.053249,0.001826,0.020497,0.001826,0.026862,0.001826
rs1116,-0.04096,0.001826,-0.01221,0.001826,-0.022894,0.001826
rs1117,-0.042753,0.001826,-0.016945,0.001826,-0.025407,0.001826
rs1118,0.045796,0.001826,0.017595,0.001826,0.015449,0.001826
rs1119,0.030581,0.001826,0.013302,0.001826,0.016794,0.001826
rs1120,0.043563,0.001826,0.018429,0.001826,0.02231,0.001826
rs1121,-0.02409,0.001826,-0.008506,0.001826,-0.01253,0.001826
rs1122,-0.031545,0.001826,-0.007287,0.001826,-0.011154,0.001826
rs1123,0.047234,0.001826,0.02059,0.001826,0.02019,0.001826
rs1124,-0.058287,0.001826,-0.02362,0.001826,-0.031084,0.001826
rs1125,0.034226,0.001826,0.006686,0.001826,0.0092,0.001826
rs1126,-0.041448,0.001826,-0.014604,0.001826,-0.023822,0.001826
rs1127,-0.039944,0.001826,-0.017948,0.001826,-0.024776,0.001826
rs1128,0.033936,0.001826,0.006712,0.001826,0.013575,0.001826
rs1129,0.043763,0.001826,0.017527,0.001826,0.02491,0.001826
rs1130,-0.044691,0.001826,-0.018496,0.001826,-0.024393,0.001826
rs1131,-0.027215,0.001826,-0.012657,0.001826,-0.016258,0.001826
rs1132,0.02307,0.001826,0.008455,0.001826,0.009984,0.001826
rs1133,-0.034266,0.001826,-0.013079,0.001826,-0.020612,0.001826
rs1134,-0.032983,0.001826,-0.016333,0.001826,-0.017132,0.001826
rs1135,-0.041078,0.001826,-0.022996,0.001826,-0.022334,0.001826
rs1136,0.026591,0.001826,0.011293,0.001826,0.017935,0.001826
rs1137,0.057887,0.001826,0.02339,0.001826,0.032548,0.001826
rs1138,0.032874,0.001826,0.003098,0.001826,0.01702,0.001826
rs1139,0.044692,0.001826,0.014482,0.001826,0.02341,0.001826
rs1140,-0.035691,0.001826,-0.015757,0.001826,-0.022618,0.001826
rs1141,0.022095,0.001826,0.007548,0.001826,0.01339,0.001826
rs1142,-0.053302,0.001826,-0.019871,0.001826,-0.032448,0.001826
rs1143,0.032969,0.001826,0.012803,0.001826,0.022538,0.001826
rs1144,-0.033928,0.001826,-0.014536,0.001826,-0.020132,0.001826
rs1145,0.023524,0.001826,0.007767,0.001826,0.010482,0.001826
rs1146,-0.039925,0.001826,-0.01685,0.001826,-0.024244,0.001826
rs1147,0.061723,0.001826,0.033177,0.001826,0.043481,0.001826
rs1148,-0.054872,0.001826,-0.022763,0.001826,-0.030083,0.001826
rs1149,0.029656,0.001826,0.010961,0.001826,0.016616,0.001826
rs1150,0.04684,0.001826,0.032853,0.001826,0.042523,0.001826
rs1151,-0.051584,0.001826,-0.019701,0.001826,-0.030342,0.001826
rs1152,-0.041843,0.001826,-0.016407,0.001826,-0.021101,0.001826
rs1153,0.049721,0.001826,0.017177,0.001826,0.028325,0.001826
rs1154,0.024193,0.001826,0.009495,0.001826,0.012397,0.001826
rs1155,-0.034366,0.001826,-0.014248,0.001826,-0.016944,0.001826
rs1156,-0.046399,0.001826,-0.003561,0.001826,-0.024855,0.001826
rs1157,0.040201,0.001826,0.012463,0.001826,0.01705,0.001826
rs1158,-0.048717,0.001826,-0.017157,0.001826,-0.026814,0.001826
rs1159,-0.038863,0.001826,-0.013633,0.001826,-0.020684,0.001826
rs1160,0.033969,0.001826,0.012446,0.001826,0.016828,0.001826
rs1161,0.049945,0.001826,0.027547,0.001826,0.023017,0.001826
rs1162,0.023198,0.001826,0.013764,0.001826,0.013213,0.001826
rs1163,-0.020877,0.001826,-0.008685,0.001826,-0.011656,0.001826
rs1164,0.033411,0.001826,0.027538,0.001826,0.030766,0.001826
rs1165,-0.058414,0.001826,-0.022016,0.001826,-0.0314,0.001826
rs1166,0.042126,0.001826,0.013431,0.001826,0.023042,0.001826
rs1167,0.056462,0.001826,0.020521,0.001826,0.031113,0.001826
rs1168,0.033078,0.001826,0.013007,0.001826,0.016927,0.001826
rs1169,-0.037138,0.001826,-0.015804,0.001826,-0.019267,0.001826
rs1170,-0.027315,0.001826,-0.010685,0.001826,-0.024482,0.001826
rs1171,-0.050753,0.001826,-0.020949,0.001826,-0.02555,0.001826
rs1172,-0.029003,0.001826,-0.013891,0.001826,-0.020612,0.001826
rs1173,0.018436,0.001826,0.017141,0.001826,0.017702,0.001826
rs1174,-0.045794,0.001826,-0.028845,0.001826,-0.029857,0.001826
rs1175,-0.037967,0.001826,-0.013535,0.001826,-0.034177,0.001826
rs1176,0.029789,0.001826,0.020603,0.001826,0.0242,0.001826
rs1177,-0.036681,0.001826,-0.017301,0.001826,-0.027816,0.001826
rs1178,-0.037055,0.001826,-0.016497,0.001826,-0.023566,0.001826
rs1179,-0.025134,0.001826,-0.00758,0.001826,-0.010217,0.001826
rs1180,-0.052315,0.001826,-0.022221,0.001826,-0.034181,0.001826
rs1181,-0.04541,0.001826,-0.022048,0.001826,-0.026537,0.001826
rs1182,-0.042388,0.001826,-0.0193,0.001826,-0.024239,0.001826
rs1183,-0.041932,0.001826,-0.021353,0.001826,-0.021094,0.001826
rs1184,-0.051121,0.001826,-0.02011,0.001826,-0.028574,0.001826
rs1185,-0.027192,0.001826,-0.014058,0.001826,-0.017392,0.001826
rs1186,0.047642,0.001826,0.018565,0.001826,0.027561,0.001826
rs1187,0.0601,0.001826,0.026676,0.001826,0.031369,0.001826
rs1188,-0.046297,0.001826,-0.015948,0.001826,-0.023638,0.001826
rs1189,0.060077,0.001826,0.022168,0.001826,0.032659,0.001826
rs1190,-0.029015,0.001826,-0.013638,0.001826,-0.018131,0.001826
rs1191,-0.024502,0.001826,-0.010019,0.001826,-0.015169,0.001826
rs1192,-0.024505,0.001826,-0.00773,0.001826,-0.014716,0.001826
rs1193,-0.043424,0.001826,-0.017438,0.001826,-0.02482,0.001826
rs1194,0.033936,0.001826,0.01465,0.001826,0.014441,0.001826
rs1195,0.028788,0.001826,0.036805,0.001826,0.038978,0.001826
rs1196,-0.055498,0.001826,-0.010959,0.001826,-0.019035,0.001826
rs1197,0.02361,0.001826,0.010763,0.001826,0.008836,0.001826
rs1198,-0.024926,0.001826,-0.013018,0.001826,-0.020799,0.001826
rs1199,0.018896,0.001826,0.007568,0.001826,-0.003696,0.001826
rs1200,-0.035976,0.001826,-0.012346,0.001826,-0.018937,0.001826
rs1201,0.034166,0.001826,0.013102,0.001826,0.020076,0.001826
rs1202,-0.047947,0.001826,-0.00979,0.001826,-0.01975,0.001826
rs1203,0.020898,0.001826,0.00854,0.001826,0.011836,0.001826
rs1204,0.054734,0.001826,0.022196,0.001826,0.027548,0.001826
rs1205,0.061135,0.001826,0.022788,0.001826,0.033513,0.001826
rs1206,-0.046306,0.001826,-0.019725,0.001826,-0.019105,0.001826
rs1207,0.043016,0.001826,0.016759,0.001826,0.026839,0.001826
rs1208,0.055787,0.001826,0.02117,0.001826,0.02984,0.001826
rs1209,0.023795,0.001826,0.008019,0.001826,0.005822,0.001826
rs1210,0.049989,0.001826,0.016618,0.001826,0.020184,0.001826
rs1211,0.053867,0.001826,0.02436,0.001826,0.02954,0.001826
rs1212,0.028787,0.001826,0.019649,0.001826,0.022871,0.001826
rs1213,-0.055691,0.001826,-0.022818,0.001826,-0.028405,0.001826
rs1214,0.032587,0.001826,0.01363,0.001826,0.022414,0.001826
rs1215,-0.022518,0.001826,-0.008747,0.001826,-0.019263,0.001826
rs1216,-0.022036,0.001826,-0.008532,0.001826,-0.008922,0.001826
rs1217,0.061963,0.001826,0.024098,0.001826,0.03313,0.001826
rs1218,0.052181,0.001826,0.020711,0.001826,0.025947,0.001826
rs1219,-0.050853,0.001826,-0.018073,0.001826,-0.029546,0.001826
rs1220,0.044847,0.001826,0.01843,0.001826,0.024747,0.001826
rs1221,-0.034128,0.001826,-0.013466,0.001826,-0.019327,0.001826
rs1222,-0.039877,0.001826,-0.014598,0.001826,-0.019394,0.001826
rs1223,-0.024912,0.001826,-0.007936,0.001826,-0.012461,0.001826
rs1224,0.02072,0.001826,0.006211,0.001826,0.012262,0.001826
rs1225,-0.047901,0.001826,-0.018164,0.001826,-0.025184,0.001826
rs1226,0.037648,0.001826,0.017707,0.001826,0.020918,0.001826
rs1227,-0.05544,0.001826,-0.02442,0.001826,-0.031407,0.001826
rs1228,-0.025495,0.001826,-0.012205,0.001826,-0.015243,0.001826
rs1229,0.038342,0.001826,0.017007,0.001826,0.025189,0.001826
rs1230,-0.047534,0.001826,-0.019428,0.001826,-0.025595,0.001826
rs1231,0.033014,0.001826,0.011503,0.001826,0.020536,0.001826
rs1232,-0.036396,0.001826,-0.017096,0.001826,-0.019247,0.001826
rs1233,0.057573,0.001826,0.022911,0.001826,0.031982,0.001826
rs1234,0.028395,0.001826,0.010535,0.001826,0.015198,0.001826
rs1235,-0.030695,0.001826,-0.012153,0.001826,-0.01789,0.001826
rs1236,-0.0468,0.001826,-0.025096,0.001826,-0.027293,0.001826
rs1237,0.049568,0.001826,0.017232,0.001826,0.027767,0.001826
rs1238,0.046787,0.001826,0.043453,0.001826,0.051589,0.001826
rs1239,0.03452,0.001826,0.016687,0.001826,0.021044,0.001826
rs1240,-0.026883,0.001826,-0.010443,0.001826,-0.016981,0.001826
rs1241,-0.022989,0.001826,-0.011325,0.001826,-0.007977,0.001826
rs1242,-0.022648,0.001826,-0.008378,0.001826,-0.014476,0.001826
rs1243,0.058419,0.001826,0.021782,0.001826,0.029599,0.001826
rs1244,0.024494,0.001826,0.009044,0.001826,0.010358,0.001826
rs1245,0.028239,0.001826,0.014356,0.001826,0.019627,0.001826
rs1246,-0.037366,0.001826,-0.015277,0.001826,-0.017819,0.001826
rs1247,-0.030091,0.001826,-0.011083,0.001826,-0.014553,0.001826
rs1248,0.02161,0.001826,0.009728,0.001826,0.012436,0.001826
rs1249,-0.055374,0.001826,-0.019438,0.001826,-0.030883,0.001826
